"[0.0, 0.0]","[3.113037208643439, 0.9581620420269243]","[3.276291311430999, 0.9246079707269075]","[3.3579183628247784, 0.907830935076899]","[3.4395454142185584, 0.8910538994268906]","[3.5211724656123384, 0.8742768637768822]"
"[3.113037208643439, 0.9581620420269243]","[3.1170200743079786, 0.9558374100872313]","[3.173536388647211, 0.8945973034743792]","[3.2017945458168273, 0.8639772501679531]","[3.230052702986444, 0.8333571968615271]","[3.25831086015606, 0.8027371435551011]"
"[3.1170200743079786, 0.9558374100872313]","[3.125078911758613, 0.955057360318226]","[3.216743540401136, 0.8158619091224124]","[3.2625758547223978, 0.7462641835245057]","[3.308408169043659, 0.676666457926599]","[3.354240483364921, 0.6070687323286923]"
"[3.125078911758613, 0.955057360318226]","[3.1422415816125593, 0.9542983635625084]","[3.1767366594039963, 0.8784397183557348]","[3.1939841982997144, 0.8405103957523479]","[3.211231737195433, 0.8025810731489611]","[3.2284792760911514, 0.7646517505455742]"
"[3.1422415816125593, 0.9542983635625084]","[3.175030705920951, 0.9531424221266476]","[3.2481420005913604, 0.7140718497183803]","[3.2846976479265653, 0.5945365635142468]","[3.32125329526177, 0.4750012773101131]","[3.357808942596975, 0.35546599110597943]"
"[3.175030705920951, 0.9531424221266476]","[3.2109317593475533, 0.9509277885376232]","[3.196707441648174, 0.7013327790001984]","[3.1895952827984844, 0.5765352742314861]","[3.1824831239487947, 0.4517377694627738]","[3.175370965099105, 0.32694026469406146]"
"[3.2109317593475533, 0.9509277885376232]","[3.2774576092278784, 0.953600119077487]","[3.486991028793037, 0.817233898607272]","[3.591757738575616, 0.7490507883721647]","[3.6965244483581956, 0.6808676781370572]","[3.8012911581407747, 0.6126845679019497]"
"[3.2774576092278784, 0.953600119077487]","[3.360318239199224, 0.9607014197320498]","[3.42787780909448, 1.1130611332174256]","[3.461657594042108, 1.1892409899601133]","[3.495437378989736, 1.2654208467028012]","[3.529217163937364, 1.341600703445489]"
"[3.360318239199224, 0.9607014197320498]","[3.434513541710265, 0.9682327913973465]","[3.243029749057716, 1.1289622446764376]","[3.147287852731441, 1.209326971315983]","[3.0515459564051666, 1.2896916979555286]","[2.9558040600788917, 1.3700564245950742]"
"[3.434513541710265, 0.9682327913973465]","[3.5129910650101888, 0.97216416392405]","[3.4431229908383725, 1.0175832860640257]","[3.4081889537524646, 1.0402928471340136]","[3.373254916666556, 1.0630024082040015]","[3.3383208795806483, 1.0857119692739894]"
"[3.5129910650101888, 0.97216416392405]","[3.6128402448619172, 0.970047571665471]","[3.653915054424643, 1.0425548434651344]","[3.6744524592060057, 1.078808479364966]","[3.694989863987369, 1.1150621152647977]","[3.7155272687687315, 1.1513157511646293]"
"[3.6128402448619172, 0.970047571665471]","[3.7017125943659805, 0.9681031055656205]","[3.862038543482159, 1.013637354409479]","[3.942201518040248, 1.0364044788314084]","[4.022364492598337, 1.0591716032533376]","[4.102527467156426, 1.0819387276752668]"
"[3.7017125943659805, 0.9681031055656205]","[3.774765480699354, 0.9669335292069253]","[3.9405100384767455, 0.9494258353280981]","[4.023382317365441, 0.9406719883886846]","[4.106254596254137, 0.931918141449271]","[4.189126875142833, 0.9231642945098574]"
"[3.774765480699354, 0.9669335292069253]","[3.8476821136791086, 0.9706337566148887]","[3.972778656606916, 1.0807638284630858]","[4.03532692807082, 1.1358288643871843]","[4.097875199534723, 1.1908939003112828]","[4.1604234709986265, 1.2459589362353811]"
"[3.8476821136791086, 0.9706337566148887]","[3.9401014233882807, 0.9776753407209586]","[3.9110781924340405, 1.0557912578532644]","[3.8965665769569204, 1.0948492164194175]","[3.8820549614798003, 1.1339071749855703]","[3.8675433460026802, 1.1729651335517233]"
"[3.9401014233882807, 0.9776753407209586]","[4.033901501422587, 0.9776927210085827]","[4.130538834098727, 1.2082599041315094]","[4.178857500436796, 1.3235434956929728]","[4.227176166774866, 1.438827087254436]","[4.275494833112935, 1.5541106788158994]"
"[4.033901501422587, 0.9776927210085827]","[4.118181848735966, 0.9775953652797049]","[4.28943069326992, 1.1597322183484502]","[4.375055115536897, 1.2508006448828228]","[4.460679537803873, 1.3418690714171955]","[4.54630396007085, 1.432937497951568]"
